Date,Carrier,Tracking #,Order #,Delivery City,Star Rating,FeedbackCategory,Subcategory,Comment
Fri Feb 03 00:00:00 GMT 2023,MI,"	92419902712015573015710430","	null",SAN BRUNO; CA; US; 94066,2,Damaged/Missing Item(s),Missing Item(s),"1 book was missing from this order, and I'm having a difficult time figuring out how to report this."
Fri Feb 03 00:00:00 GMT 2023,ups,"	1Z1W1R130319029178","	null",TRENTON; FL; US; 32693,5,Thanks/Praise,Thanks/Praise,The book box arrived within a week with all contents.
Fri Feb 03 00:00:00 GMT 2023,ups,"	1Z1W1R130319269543","	null",APPLETON; WI; US; 54915,3,Damaged/Missing Item(s),Missing Item(s),Still missing part of the order and it is a gift for February 14.  I would love some information regarding when this could possibly ship.
Fri Feb 03 00:00:00 GMT 2023,ups,"	1Z1W1R130319548474","	72346392",INVER GROVE HEIGHTS; MN; US; 55076,5,Thanks/Praise,Thanks/Praise,Great!!
Fri Feb 03 00:00:00 GMT 2023,ups,"	1Z3584030280219699","	72402329",TOPEKA; KS; US; 66608,3,Other,LOB Confusion,It would be nice if I can have one account for book clubs regular books textbooks instead of having different accounts for ordering from Scholastic
Fri Feb 03 00:00:00 GMT 2023,MI,"	92419902712015573016388164","	72358129",MASTIC BEACH; NY; US; 11951,5,Thanks/Praise,Thanks/Praise,"I love â¤ï¸ dealing with this copy. This is the only company I can say, I have never had a problem with. Keep up the Great work."
Fri Feb 03 00:00:00 GMT 2023,MI,"	92419902712015573015439959","	null",EDMOND; OK; US; 73013,2,No Package Received,No Package Received,My school never received this box.
Fri Feb 03 00:00:00 GMT 2023,ups,"	1Z1W1R130319518747","	null",VINTON; VA; US; 24179,2,Damaged/Missing Item(s),Missing Item(s),One item left out and not acknowledged.
Fri Feb 03 00:00:00 GMT 2023,ups,"	1Z1W1R130319616542","	72380053",NAPERVILLE; IL; US; 60563,5,Thanks/Praise,Thanks/Praise,Thanks
Fri Feb 03 00:00:00 GMT 2023,MI,"	92419902712015573014938576","	null",LAS CRUCES; NM; US; 88011,2,Damaged/Missing Item(s),Missing Item(s),My student's order was incomplete.
Fri Feb 03 00:00:00 GMT 2023,ups,"	1Z1W1R130319513484","	null",BROWNSVILLE; TX; US; 78520,5,Thanks/Praise,Thanks/Praise,Great value!
Fri Feb 03 00:00:00 GMT 2023,MI,"	92419902712015573016204983","	72299800",CHICO; CA; US; 95973,2,Damaged/Missing Item(s),Damaged Item(s),Package was ripped when I arrived home. Contents I ordered were in package but I was not happy with a ripped package sitting on my porch?
Fri Feb 03 00:00:00 GMT 2023,MI,"	92419902712015573016187088","	null",WANTAGH; NY; US; 11793,5,Thanks/Praise,Thanks/Praise,Very easy to use!
Fri Feb 03 00:00:00 GMT 2023,MI,"	92419902712015573016241544","	72309544",OMAHA; NE; US; 68134,1,Stalled Tracking,Stalled Tracking,Advised arriving today by 7 pm.  It's 849 pm.  Still says it's on it's way no new info.
